duns,domain,gt_domain,business_name,address_1,address_2,city_name,state_name,postal_code,country_name,line_of_business,better_domain,perfect_match,probably_match,not_match,alternative_domain,comment,time
832499110,allegisglobalsolutions.com,allegisgroup.com,"Allegis Global Solutions, Inc.",7312 Parkway Dr,,Hanover,Maryland,21076,USA,Management consulting services,allegisglobalsolutions.com,1,,,,,"1,00"
654284702,jxfangda-steels.com,angang.com.cn,"Jiangxi West Steel Group Co., Ltd.","Fangda Gangtie Group, No.475, Yejin Avenue, Qingshanhu District",,Nanchang,Jiangxi,33000,CHINA,Blast furnace-steel works,jxfangda-steels.com,,1,,,,"3,00"
79429778,www.michaels.com,investors.michaels.com,The Michaels Companies Inc,3939 W John Carpenter Fwy,,IRVING,Texas,75063,USA,Ret hobbies/toys/games,,1,,,www.michaelspressroom.com,,"2,00"
249763145,walmart.ca,walmartcanada.ca,Wal-Mart Canada Corp,1940 Argentia Rd,,MISSISSAUGA,ONTARIO,L5N 1,CANADA,Department store,walmart.ca,1,,,,,"2,00"
530158302,sdic.com.cn,xinji.chinacoal.com,"China Coal Xinji Energy Co., Ltd","Guotou Xinji Nengyuan Bangong Zone, Shannan New District, Tianji",,Huainan,Anhui,23200,CHINA,Coal mining services,xinji.chinacoal.com,1,,,,,"3,00"
130639305,radissonhotels.com,radissonhotelsamericas.com,"Radisson Hotels International, Inc.",701 Carlson Pkwy,,MINNETONKA,Minnesota,55305,USA,Subdivider/developer,radissonhotelsamericas.com,1,,,,,
79516185,schools.gcpsk12.org,publish.gwinnett.k12.ga.us,Gwinnett County Public Schools,437 Old Peachtree Rd NW,,SUWANEE,Georgia,30024,USA,Elementary/secondary school,schools.gcpsk12.org,1,,,,,
24792194,www.bench.com,bench.com,"Benchmark Electronics, Inc.",56 S Rockford Dr,,TEMPE,Arizona,85281,USA,Mfg printed circuit boards,www.bench.com,1,,,,,
809387699,virginia.gov,pshs.virginia.gov,Virginia Secretary of Public Safety and Homeland Security,1111 E Broad St,,RICHMOND,Virginia,23219,USA,Executive office,pshs.virginia.gov,1,,,,,
547118265,sanyou-chem.com.cn,sanyouchem.com,"Tangshan Sanyou Chemical Industries Co.,Ltd.","Sanyou Office Building, Nanbao Development Zone, Caofeidian Dist",,Tangshan,Hebei,6330,CHINA,Mfg alkalies/chlorine,sanyouchem.com,1,,,,,
6966485,corp.advanceautoparts.com,shop.advanceautoparts.com,"Advance Auto Parts, Inc.",4200 Six Forks Rd,,RALEIGH,North Carolina,27609,USA,Ret auto/home supplies,corp.advanceautoparts.com,1,,,,,
203213889,brookfieldinfrastructure.com,bip.brookfield.com,Brookfield Infrastructure Partners L.P.,100-181 Bay St,,TORONTO,ONTARIO,M5J 2,CANADA,Engineering services,bip.brookfield.com,1,,,,,
210026011,brake.co.uk,cucinafinance.com,CUCINA ACQUISITION (UK) LIMITED,Enterprise House,"Nicholas Road, Eureka Science Park",ASHFORD,KENT,TN25,ENGLAND,Holding company,brake.co.uk,,1,,,,
29620320,www.navy.mil,navy.mil,United States Department of The Navy,690 Peary St Ste 3,,Newport,Rhode Island,2841,USA,National security,www.navy.mil,1,,,,,
6925341,www.southerncompany.com,southerncompany.com,The Southern Company,30 Ivan Allen Jr Blvd NW Ste 1407,,ATLANTA,Georgia,30308,USA,Electric services,southerncompany.com,,,,,,
3548489,www.att.com,att.com,AT&T Mobility LLC,1025 Lenox Park Blvd NE,,ATLANTA,Georgia,30319,USA,Radiotelephone communication,www.att.com,,1,,,,
7111818,nmhealth.org,newmexico.gov,State of New Mexico,237 Don Gaspar Ave,,SANTA FE,New Mexico,87501,USA,Executive office,newmexico.gov,1,,,,,
1339472,www.howmet.com,arconic.com,Howmet Aerospace Inc.,201 Isabella St Ste 200,,PITTSBURGH,Pennsylvania,15212,USA,Aluminum rolling/drawing,www.howmet.com,1,,,,,
247191679,nofrills.ca,loblaws.ca,Loblaws Supermarkets Limited,1 Presidents Choice Cir,,BRAMPTON,ONTARIO,L6Y 5,CANADA,Ret groceries,,,,,,"unreachable, not found",
6944334,www.kochindusinc.com,kochind.com,"Koch Industries, LLC",4111 E 37TH St N,,WICHITA,Kansas,67220,USA,Whol petroleum products,,1,,,,,
131978533,transformco.com,kmart.com,Kmart Holding Corporation,3333 Beverly Rd,,HOFFMAN ESTATES,Illinois,60179,USA,Holding company,kochind.com,,,,,,
544345673,dlzredu.com,dletc.chinasofti.com,"Dalian Chinasoft Excellency Information Technology Co., Ltd.","Floor 2, No.97, Guangxian Road, Hi-tech Industries Park",,Dalian,Liaoning,11602,CHINA,Custom computer programming,,1,,,www.chinasofti.com,,
45155652,finishline.com,corporate.finishline.com,The Finish Line Inc,3308 N Mitthoefer Rd,,Indianapolis,Indiana,46235,USA,Ret shoes,finishline.com,1,,,,,
806781373,oig.hhs.texas.gov,hhsc.state.tx.us,"Health and Human Services Commission, Texas",4601 W Guadalupe St,,AUSTIN,Texas,78751,USA,Administrative public health programs,,1,,,www.hhs.texas.gov,,
6989081,us.brinks.com,investors.brinks.com,The Brink's Company,1801 Bayberry Ct,,RICHMOND,Virginia,23226,USA,Security systems services,investors.brinks.com,1,,,,,
862168585,bosch-softwaretechnologies.com,bosch.in,BOSCH GLOBAL SOFTWARE TECHNOLOGIES PRIVATE LIMITED,"No.123, Industrial Layout","Hosur Road, Koramangala",Bengaluru,Karnataka,56009,INDIA,Custom computer programming,bosch-softwaretechnologies.com,1,,,,,
6979801,aacargo.com,aa.com,"American Airlines, Inc.",1 Skyview Dr,,Fort Worth,Texas,76155,USA,Scheduled air transportation,aa.com,1,,,,,
650219132,ipca.com,ipcalabs.com,IPCA LABORATORIES LIMITED,"125, Kandivli Industrial Estate, Kandivli (West),",,Mumbai,Maharashtra,40006,INDIA,Mfg pharmaceutical preparations,ipca.com,1,,,,,
294699293,barclays.co.uk,barclays.com,BARCLAYS EXECUTION SERVICES LIMITED,1 Churchill Place,,LONDON,LONDON,E14 5,ENGLAND,Business services,barclays.co.uk,1,,,,,
196337864,meta.com,facebook.com,"Meta Platforms, Inc.",1 Meta Way,,MENLO PARK,California,94025,USA,Information retrieval services,meta.com,,1,,,problematic site,
666199091,shkp.com.hk,shkp.com,Sun Hung Kai Infrastructure Investment Limited,45/F Sun Hung Kai Ctr,30 Harbour Rd,WAN CHAI,HONG KONG,,HONG KONG,Closed-end investment office,shkp.com,,1,,,,
421369074,ansteel.cn,en.ansteel.cn,Ansteel Group Corporation,"No.77, Dongshan Street, Tiedong District",,Anshan,Liaoning,11400,CHINA,Blast furnace-steel works,ansteel.cn,1,,,,,
1307974,schwab.com,aboutschwab.com,The Charles Schwab Corporation,3000 Schwab Way,,WESTLAKE,Texas,76262,USA,Security broker/dealer,schwab.com,1,,,,,
421299114,faurecia.cn,faurecia.com,"Faurecia Emissions Control Technologies (Beijing) Co., Ltd.","No.19, Xingye Street, Economic and Technology Development Zone",,Beijing,Beijing,10017,CHINA,Mfg motor vehicle parts/accessories,faurecia.cn,,,,,,
874082075,us.nttdata.com,nttdata.com,NTT DATA INFORMATION PROCESSING SERVICES PRIVATE LIMITED,"Plot No. 123, Epip Phase- II",Whitefield Industrial Area,Bengaluru,Karnataka,56006,INDIA,Data processing/preparation,www.nttdata.com,1,,,,,
544343482,qhdsmwy.com,digitalchina.com,"Zhihui Shenzhou (Qinhuangdao) Information Technology Co., Ltd.","Room B01, Floor 23, Jinyuan International Business Building, Heb",,Qinhuangdao,Hebei,6600,CHINA,Custom computer programming,,,,1,,,
491013975,us.homesense.com,tjx.com,TJX UK,73  CLARENDON ROAD,,WATFORD,HERTFORDSHIRE,WD17,ENGLAND,Ret misc merchandise,,,,,,,
964899132,pge.com,pgecorp.com,PG&e Corporation,300 Lakeside Dr Ste 210,,OAKLAND,California,94612,USA,Electric and other services combined,,,,,,,
24187130,www.coopercos.com,coopercos.com,The Cooper Companies Inc,6101 Bollinger Canyon Rd Ste 500,,SAN RAMON,California,94583,USA,Mfg ophthalmic goods,,,,,,,
545287104,mgldl.com.cn,risesungroup.com,"Risesun Mengguli New Energy Science & Technology Co., Ltd.","No. 1, Lingong 2nd Road, Shunyi Park, Zhongguancun Science Park,",,Beijing,Beijing,10139,CHINA,Mfg storage batteries,,,,,,,
8383382,smithcodevelopment.com,slb.com,"Smith International, LLC",5599 San Felipe St,,HOUSTON,Texas,77056,USA,Mfg oil/gas field machinery,,,,,,,
796491330,www.penskeautomotive.com,penskeautomotive.com,"Penske Automotive Group, Inc.",2555 S Telegraph Rd,,BLOOMFIELD HILLS,Michigan,48302,USA,Ret new/used automobiles,,,,,,,
861316857,aegisglobal.com,startek.com,AEGIS CUSTOMER SUPPORT SERVICES PRIVATE LIMITED,"Lg-a-5 To 8, Lower Ground Floor, Art Guild House","Phoenix Market City, L.b.s Marg, Kurla (West)",Mumbai,Maharashtra,40007,INDIA,Data processing/preparation,,,,,,,
1338912,www.cvshealth.com,cvshealth.com,CVS Health Corporation,1 CVS Dr,,WOONSOCKET,Rhode Island,2895,USA,Ret drugs/sundries,,,,,,,
243581639,nbc.ca,bnc.ca,Banque Nationale du Canada,800 rue Saint-Jacques,,Montreal,QUEBEC,H3C 1,CANADA,Security broker/dealer,,,,,,,
679857792,bike.shimano.com,shimano.com,"Shimano (Tianjin) Bicycle Components Co., Ltd.","172, Xijiu Road, Tianjin Airport Industrial Park, Dongli Distric",,Tianjin,Tianjin,30025,CHINA,Mfg electronic computers,,,,,,,
243271553,maintenance.metro.ca,foodbasics.ca,Metro Ontario Inc.,5559 Dundas St W,,ETOBICOKE,ONTARIO,M9B 1,CANADA,Ret groceries,,,,,,,
529091613,62580000.com.cn,qiangsheng.com.cn,"Shanghai Foreign Service Holdinggroup Co., Ltd.","No.1000, Quyang Road, Hongkou District",,Shanghai,Shanghai,20043,CHINA,Holding company,,,,,,,
528184453,sinoma-ltd.cn,cnbm.com.cn,China National Materials Company Limited,"Floor 8, Building 2, Guohai Square, No.17, Fuxing Road, Haidian",,Beijing,Beijing,10003,CHINA,Mfg hydraulic cement,,,,,,,
938751310,marriott.com,hmshost.com,"Host Marriott Services, Inc.",6711 Democracy Blvd,,Bethesda,Maryland,20817,USA,Hotel/motel operation,,,,,,,
102221942,dentsplysirona.com,sirona.es,Dentsply Sirona Inc.,13320 Ballantyne Corporate Pl,,CHARLOTTE,North Carolina,28277,USA,Mfg dental equipment/supplies,,,,,,,
131481657,nestlejobs.com,nestleusa.com,"Nestle Holdings, Inc.",1812 N Moore St,,ARLINGTON,Virginia,22209,USA,Mfg dry/evaporated dairy products,,,,,,,
926348103,www.ttec.com,ttec.com,"Ttec Holdings, Inc.",9197 S Peoria St,,ENGLEWOOD,Colorado,80112,USA,Help supply services,,,,,,,
961530545,www.amentum.com,aecom.com,"Amentum Services, Inc.",4800 Westfields Blvd Ste 400,,CHANTILLY,Virginia,20151,USA,Holding company,,,,,,,
215569405,mondelezinternational.com,eu.mondelezinternational.com,MONDELEZ EUROPE PROCUREMENT GMBH,UXBRIDGE BUSINESS PARK,SANDERSON ROAD,UXBRIDGE,MIDDLESEX,UB8 1,ENGLAND,Mfg chocolate/cocoa products,,,,,,,
194176954,www.navy.mil,navy.mil,United States Department of The Navy,22268 Cedar Point Rd Bldg 409,,Patuxent River,Maryland,20670,USA,National security,,,,,,,
206122640,www.saskatchewan.ca,gov.sk.ca,Government of the Province of Saskatchewan,2405 Legislative Dr,,REGINA,SASKATCHEWAN,S4S 0,CANADA,Legislative body,,,,,,,
829200992,locations.boscovs.com,boscovs.com,"Boscov's, Inc.",4500 Perkiomen Ave,,Reading,Pennsylvania,19606,USA,Department store,,,,,,,
150924769,qvc.com,corporate.qvc.com,"Qvc, Inc.",1200 Wilson Dr,,WEST CHESTER,Pennsylvania,19380,USA,Ret mail-order house,,,,,,,
858943042,in.issworld.com,issworld.com,ISS FACILITY SERVICES INDIA PRIVATE LIMITED,"Ground Floor, East Wing, Leela Business Park,","Opp Airport Road Metro Station,",Mumbai,Maharashtra,40005,INDIA,Facilities support services,,,,,,,
544709994,shanxicoal.cn,smgjny.com,"Shanxi Coal Transportation & Distribution Group Taiyuan Co., Ltd.","No.15, Qinxian (N) Street, Xiaodian Dist.",,Taiyuan,Shanxi,3000,CHINA,Bituminous coal/lignite surface mining,,,,,,,
799259718,fmolsisters.com,fmolhs.org,"Franciscan Missionaries of Our Lady, North American Province, Inc.",4200 Essen Ln,,Baton Rouge,Louisiana,70809,USA,Religious organization,,,,,,,
858061004,daynday.co.in,dayndayindia.com,DAY `N' DAY SERVICES PRIVATE LIMITED,"No.1, Second Main Road, Ramakrishna Nagar",Mandaveli,Chennai,Tamil Nadu,60002,INDIA,Ret misc homefurnishings,,,,,,,
862253494,wnscareers.com,wns.com,WNS GLOBAL SERVICES PRIVATE LIMITED,Plant No.10/11,"Gate No. 4, Godrej & Boyce Complex Pirojshanagar",Mumbai,Maharashtra,40007,INDIA,Data processing/preparation,,,,,,,
6903702,tyson.com,tysonfoods.com,"Tyson Foods, Inc.",2200 W Don Tyson Pkwy,,SPRINGDALE,Arkansas,72762,USA,Poultry processing,,,,,,,
545359535,wandacinemas.com,wanda-group.com,"Wanda Film Holding Co.,Ltd","Floor 11, Suite B, Wanda Plaza, No.93, Jianguo Road, Chaoyang Di",,Beijing,Beijing,10002,CHINA,Motion picture/tape distribution,,,,,,,
529125938,faurecia.com,faurecia.cn,"FAURECIA (CHINA) HOLDING Co., LTD.","No.3438 Yuanjiang Road, Minhang District",,Shanghai,Shanghai,20110,CHINA,Testing laboratory,,,,,,,
807486865,ca.gov,bcsh.ca.gov,"Business, Transportation & Housing Agency, State of California",915 Capitol Mall,,Sacramento,California,95814,USA,Regulation/administrative transportation,,,,,,,
181711672,vca.com,vcahospitals.com,VCA Inc.,12401 W Olympic Blvd,,LOS ANGELES,California,90064,USA,Ret misc merchandise,,,,,,,
21599365,www.zimmerbiomet.com,zimmerbiomet.com,"Zimmer Biomet Holdings, Inc.",345 E Main St,,WARSAW,Indiana,46580,USA,Mfg surgical appliances/supplies,,,,,,,
782015911,manpowergroup.com,manpowergroupusa.com,Manpowergroup Inc.,100 W Manpower Pl,,MILWAUKEE,Wisconsin,53212,USA,Help supply services,,,,,,,
624874249,www.bestbuy.com,bestbuy.com,"Best Buy Stores, L.P.",7601 Penn Ave S,,Richfield,Minnesota,55423,USA,Ret mail-order house,,,,,,,
5146428,www.itw.com,itw.com,Illinois Tool Works Inc.,155 Harlem Ave,,GLENVIEW,Illinois,60025,USA,Mfg misc industry machinery,,,,,,,
6987135,www.macysinc.com,macysinc.com,"Macy's, Inc.",151 W 34TH St,,NEW YORK,New York,10001,USA,Department store,,,,,,,
650058803,bccl.in,bcclweb.in,BHARAT COKING COAL LIMITED,"Koyla Bhawan,",Koyla Bhawankoyla Nagar,Dhanbad,Jharkhand,82600,INDIA,Bituminous coal/lignite surface mining,,,,,,,
80291017,campingworld.com,investor.campingworld.com,"Camping World Holdings, Inc.",2 Marriott Dr,,LINCOLNSHIRE,Illinois,60069,USA,Ret sporting goods/bicycles,,,,,,,
128244097,heidelbergmaterials.com,lehighhanson.com,Hanson Aggregates East LLC,3131 Rdu Center Dr,,Morrisville,North Carolina,27560,USA,Mfg construction machinery,,,,,,,
42315093,belk.com,atg.travel,"Limited Stores, LLC",7775 Walton Pkwy Ste 400,,NEW ALBANY,Ohio,43054,USA,Ret women's clothing,,,,,,,
529265876,global.abb,abb.com,"ABB (China) Co., Ltd. Hohhot Branch","Room 2301, 23/F, International Hotel, No.66, Xinhua Avenue, Xinc",,Hohhot,Inner Mongolia,1002,CHINA,Business services,,,,,,,
1368026,www.tranetechnologies.com,ingersollrand.com,Trane Technologies Company LLC,800 Beaty St Ste E,,DAVIDSON,North Carolina,28036,USA,Mfg blowers/fans,,,,,,,
78278835,usmc-mccs.org,marines.mil,Marine Corps Community Services,3044 Catlin Ave,,Quantico,Virginia,22134,USA,National security,,,,,,,
6985808,toysrus.com,toysrusinc.com,"Toys ""r"" Us, Inc.",1 Geoffrey Way,,Wayne,New Jersey,7470,USA,Ret hobbies/toys/games,,,,,,,
650376515,renault.fr,datsun.co.in,RENAULT NISSAN AUTOMOTIVE INDIA PRIVATE LIMITED,"Plot No. 1, Sipcot Industrial Estate","Oragadam, Mattur (post)",Sriperumbudur,Tamil Nadu,60210,INDIA,Mfg motor vehicle/car bodies,,,,,,,
52272044,northropgrummanit.com,washingtontechnology.com,"Northrop Grumman Information Technology, Inc.",7575 Colshire Dr,,Mc Lean,Virginia,22102,USA,Computer systems design,,,,,,,
808892475,walker.wi.gov,wisconsin.gov,Executive Office of The State of Wisconsin,115 E State Capitol,,Madison,Wisconsin,53702,USA,General government,,,,,,,
8860389,honda.com,hondacertified.com,"American Honda Motor Co., Inc.",1919 Torrance Blvd,,TORRANCE,California,90501,USA,Whol autos/motor vehicles,,,,,,,
198154994,www.brookdale.com,brookdale.com,Brookdale Senior Living Inc.,111 Westwood Pl Ste 400,,BRENTWOOD,Tennessee,37027,USA,Nursing/personal care,,,,,,,
724420406,ggimage.com,en.ninestargroup.com,Ninestar Corporation,"Area B, Floor 7, Building 01, No.3883, Zhuhai Avenue, Xiangzhou",,Zhuhai,Guangdong,51906,CHINA,Mfg computer peripheral equipment,,,,,,,
101369473,dhses.ny.gov,doccs.ny.gov,New York Department of Corrections and Community Supervision,1220 Washington Ave Bldg 4,,Albany,New York,12226,USA,Correctional institution,,,,,,,
6177146,www.technipfmc.com,fmctechnologies.com,"FMC Technologies, Inc.",13460 Lockwood Rd,,HOUSTON,Texas,77044,USA,Mfg oil/gas field machinery,,,,,,,
148284255,www.tesla.com,tesla.com,"Tesla, Inc.",1 Tesla Rd,,AUSTIN,Texas,78725,USA,Mfg motor vehicle/car bodies,,,,,,,
918488516,decalumni.com,dxc.technology,EIT SERVICES INDIA PRIVATE LIMITED,"Digital Park, 39/40, Electronics City, Phase II, Hosur Road,",,Bengaluru,Karnataka,56010,INDIA,Custom computer programming,,,,,,,
30401292,nigelfrank.com,frankgroup.com,Frank Recruitment Group Inc.,501 E Kennedy Blvd Ste 1900,,Tampa,Florida,33602,USA,Employment agency,,,,,,,
623026353,www.tapestry.com,tapestry.com,"Tapestry, Inc.",10 Hudson Yards FL 18,,NEW YORK,New York,10001,USA,Mfg personal leather goods,,,,,,,
167202667,www.sands.com,sands.com,Las Vegas Sands Corp.,5420 S Durango Dr,,LAS VEGAS,Nevada,89113,USA,Hotel/motel operation,,,,,,,
544821325,hla.com,hla.com.cn,"Hla Group Corp., Ltd.","Huashi Town, Jiangyin City",,Wuxi,Jiangsu,21442,CHINA,Mfg men's/boy's clothing,,,,,,,
528187147,sdsteel.cc,jigang.com.cn,"Shandong Iron & Steel Group Co.,Ltd.","Building 4, Shuntai Square, No.2000, Shunhua Road, High-Tech Zon",,Jinan,Shandong,25010,CHINA,Blast furnace-steel works,,,,,,,
547734782,sunacservice.com,sunac.com.cn,SUNAC SERVICE GROUP LIMITED,"1, Floor 5, Building 5, South-West Side Aocheng Shopping Plaza,",,Tianjin,Tianjin,30038,CHINA,Building maintenance services,,,,,,,
295631428,jdsports.co.uk,jdplc.com,JD SPORTS FASHION PLC,HOLLINSBROOK WAY,PILSWORTH,BURY,LANCASHIRE,BL9 8,ENGLAND,Ret family clothing,,,,,,,
139549901,presbyterianflowerflorist.com,pathwayhealthcare.com,General Health Services Corporation,7515 Greenville Ave Ste 1000,,Dallas,Texas,75231,USA,Holding company,,,,,,,
915841357,mcgm.gov.in,portal.mcgm.gov.in,BRIHANMUMBAI MUNICIPAL CORPORATION,Mahanagar Palika Building,"Mahapalika Marg, Chief Metropolitan Magistrate Office,",Mumbai,Maharashtra,40000,INDIA,General government,,,,,,,
379731938,aviva.com,aviva.co.uk,AVIVA EMPLOYMENT SERVICES LIMITED,80 Fenchurch Street,,LONDON,LONDON,EC3M,ENGLAND,Misc personal services,,,,,,,
4962403,www.championx.com,ecolab.com,Championx LLC,2445 Technology Forest Blvd Bldg 4,,THE WOODLANDS,Texas,77381,USA,Mfg lubricating oils/greases,,,,,,,
543117510,emc.com,dell.com,"EMC Computer System (China) Co.,Ltd. Qingdao Branch","Unit 2508, Floor 25, Shangri-la Center Office Building, No.9, Ho",,Qingdao,Shandong,26600,CHINA,Computer related services,,,,,,,
529441274,leyesolar.com,longi-solar.com,"LONGi Solar Technology (Zhejiang) Co., Ltd.","No.2, Bailing Middle Road, Donggang Development Zone, Qujiang Di",,Quzhou,Zhejiang,32402,CHINA,Mfg semiconductors/related devices,,,,,,,
118162700,prconvention.com,pr.gov,Commonwealth of Puerto Rico,63 Calle De La Fortaleza,,San Juan,Puerto Rico,901,USA,Executive office,,,,,,,
7913403,cwtitle.com,cltic.com,Commonwealth Land Title Corporation,201 Concourse Blvd Ste 200,,GLEN ALLEN,Virginia,23059,USA,Title insurance carrier,,,,,,,
654402288,carec.com.cn,avic-intl.cn,"China Merchants Property Operation & Service Co., Ltd.","Floor 15A-17, Zhaoshang Jiyu Building, Shekou Taizi Wan Youlun A",,Shenzhen,Guangdong,51800,CHINA,Real estate agent/manager,,,,,,,
229123146,personal.natwest.com,nwm.com,NATWEST MARKETS PLC,36 St. Andrew Square,,EDINBURGH,MIDLOTHIAN,EH2 2,SCOTLAND,Security/commodity service,,,,,,,
739967268,reed.com,reed.co.uk,REED STAFFING SERVICES LIMITED,Academy Court,94 Chancery Lane,LONDON,LONDON,WC2A,ENGLAND,Help supply services,,,,,,,
803408843,www.zachrygroup.com,zachrygroup.com,"Zachry Holdings, Inc.",527 Logwood Ave,,SAN ANTONIO,Texas,78221,USA,Holding company,,,,,,,
102766383,xpo.com,ltl.xpo.com,"XPO Logistics Freight, Inc.",2211 Old Earhart Rd Ste 100,,ANN ARBOR,Michigan,48105,USA,Trucking operator-nonlocal,,,,,,,
57156663,corporate.comcast.com,comcast.com,Comcast Corporation,1701 John F Kennedy Blvd Ste 1,,PHILADELPHIA,Pennsylvania,19103,USA,Television station,,,,,,,
81080246,www.joysonsafety.com,joysonsafety.com,Joyson Safety Systems Acquisition LLC,2025 Harmon Rd,,AUBURN HILLS,Michigan,48326,USA,Mfg motor vehicle parts/accessories,,,,,,,
677256145,serco.in,serco.com,SERCO BPO PRIVATE LIMITED,Plot No-339,Phase-4,Gurugram,Haryana,12200,INDIA,Business services,,,,,,,
243278186,westonfoods.com,westonfoods.ca,Weston Foods (Canada) Inc,1425 The Queensway,,ETOBICOKE,ONTARIO,M8Z 1,CANADA,Mfg bread/related products,,,,,,,
623651429,pa.gov,umpquabank.com,Pennsylvania State Bank,1 PNC Plaza 249 5TH Ave,,Pittsburgh,Pennsylvania,15222,USA,State commercial bank,,,,,,,
